GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,GO TERM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,GO ASPECT,Organel,Gene,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id
UniProtKB,A0A024QYR6,PTEN,GO:0006915,apoptotic process,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0053,9606,P,apoptosis,ENSG00000171862,PTEN,Supported,Cytosol,Mid piece;Nucleoplasm;Principal piece,,,Cytosol;Nucleoplasm,Mid piece;Principal piece,,,,,Cytosol (GO:0005829);Mid piece (GO:0097225);Nucleoplasm (GO:0005654);Principal piece (GO:0097228)
UniProtKB,A0A024R1X5,BECN1,GO:0006915,apoptotic process,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0053,9606,P,apoptosis,ENSG00000126581,BECN1,Supported,Cytosol,Nuclear bodies,,,Cytosol;Nuclear bodies,,,,,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604)
UniProtKB,A0A024R3Y4,A0A024R3Y4,GO:0006915,apoptotic process,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00027755|UniProtKB-KW:KW-0053,9606,P,apoptosis,,,,,,,,,,,,,,
UniProtKB,A0A024R4A8,BOK,GO:0006915,apoptotic process,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00027755|UniProtKB:Q792S6|ensembl:ENSRNOP00000024693|UniProtKB-KW:KW-0053,9606,P,apoptosis,,,,,,,,,,,,,,
UniProtKB,A0A024R6A3,PSEN1,GO:0006915,apoptotic process,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0053,9606,P,apoptosis,ENSG00000080815,PSEN1,Supported,Golgi apparatus,Cell Junctions;Nucleoplasm,,,Golgi apparatus,,Cell Junctions;Nucleoplasm,Golgi apparatus,,,Cell Junctions (GO:0030054);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
UniProtKB,A0A024RA73,CARD4,GO:0006915,apoptotic process,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0053,9606,P,apoptosis,,,,,,,,,,,,,,
UniProtKB,A0A024RCM4,BAG6,GO:0006915,apoptotic process,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0053,9606,P,apoptosis,ENSG00000204463,BAG6,Supported,Nucleoplasm,Cytosol;Vesicles,,,Cytosol;Nucleoplasm,Vesicles,,Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
UniProtKB,A0A024RCP5,A0A024RCP5,GO:0006915,apoptotic process,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0053,9606,P,apoptosis,,,,,,,,,,,,,,
UniProtKB,A0A024RCS3,A0A024RCS3,GO:0006915,apoptotic process,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0053,9606,P,apoptosis,,,,,,,,,,,,,,
UniProtKB,A0A075B7D2,BABAM2,GO:0006915,apoptotic process,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0053|UniRule:UR001478814,9606,P,apoptosis,ENSG00000158019,BABAM2,Supported,Cytosol,,,,Cytosol,,,,,,Cytosol (GO:0005829)
UniProtKB,A0A087WT22,TP53,GO:0006915,apoptotic process,ECO:0000501,IEA,GO_REF:0000120,InterPro:IPR002117|UniProtKB-KW:KW-0053,9606,P,apoptosis,ENSG00000141510,TP53,Enhanced,Nucleoplasm,Cytosol;Vesicles,,Nucleoplasm,Cytosol,Vesicles,,Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
UniProtKB,A0A087WT64,MCL1,GO:0006915,apoptotic process,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00027755|UniProtKB-KW:KW-0053,9606,P,apoptosis,ENSG00000143384,MCL1,Enhanced,Mitochondria,,,Mitochondria,,,,Mitochondria,,,Mitochondria (GO:0005739)
UniProtKB,A0A087WTL4,BCL2L13,GO:0006915,apoptotic process,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR042398,9606,P,apoptosis,ENSG00000099968,BCL2L13,Enhanced,Mitochondria,,,Mitochondria,,,,,,,Mitochondria (GO:0005739)
