disease	class	organ	symptom_concept	hpo
Acrocallosal Syndrome	Primary Ciliopathies	Skeletal	Bifid / duplicated thumb or hallux	HP:0010053
Acrocallosal Syndrome	Primary Ciliopathies	Skeletal	Brachydactyly / short digits	HP:0001156
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Cleft lip / palate	HP:0410030; HP:0000175
Acrocallosal Syndrome	Primary Ciliopathies	Skeletal	Clinodactyly	HP:0030084
Acrocallosal Syndrome	Primary Ciliopathies	Eye	Coloboma (ocular)	HP:0000589
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Corpus callosum abnormality	HP:0001273
Acrocallosal Syndrome	Primary Ciliopathies	Reproductive	Cryptorchidism	HP:0000028
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Epicanthal folds	HP:0000286
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Eyelid / palpebral abnormality	HP:0000492
Acrocallosal Syndrome	Primary Ciliopathies	Endocrine	Failure to thrive / growth retardation	HP:0001508
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Frontal bossing / abnormal forehead	HP:0002007
Acrocallosal Syndrome	Primary Ciliopathies	Skeletal	Hand / foot abnormality (general)	HP:0001167
Acrocallosal Syndrome	Primary Ciliopathies	GI_Abdominal	Hernia (abdominal)	HP:0100790
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	High-arched / narrow palate	HP:0000218
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Hypertelorism	HP:0000316
Acrocallosal Syndrome	Primary Ciliopathies	Reproductive	Hypospadias	HP:0000047
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Hypotonia	HP:0001252
Acrocallosal Syndrome	Primary Ciliopathies	GI_Abdominal	Imperforate anus / anal atresia	HP:0002023
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Intellectual disability / developmental delay	HP:0001249
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Long philtrum / abnormal philtrum	HP:0000343
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Low-set / malformed ears	HP:0000356
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Macrocephaly	HP:0000256
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Malar flattening / abnormal cheek	HP:0000272
Acrocallosal Syndrome	Primary Ciliopathies	Reproductive	Micropenis	HP:0000054
Acrocallosal Syndrome	Primary Ciliopathies	Cardiac	Mitral / tricuspid / valve abnormality	HP:0001654
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Molar tooth sign	HP:0002419
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Nasal abnormality	HP:0000366
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Nystagmus	HP:0000639
Acrocallosal Syndrome	Primary Ciliopathies	Eye	Optic nerve abnormality	HP:0000587
Acrocallosal Syndrome	Primary Ciliopathies	Skeletal	Polydactyly	HP:0001162
Acrocallosal Syndrome	Primary Ciliopathies	Eye	Retinal dystrophy (other / unspecified)	HP:0000556
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Seizures / epilepsy	HP:0001250
Acrocallosal Syndrome	Primary Ciliopathies	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001671
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Skull base / cranial vault abnormality	HP:0002692
Acrocallosal Syndrome	Primary Ciliopathies	CNS	Strabismus	HP:0000486
Acrocallosal Syndrome	Primary Ciliopathies	Skeletal	Syndactyly / webbed digits	HP:0001159
Acrocallosal Syndrome	Primary Ciliopathies	Craniofacial	Tongue abnormality	HP:0000157
Acrocallosal Syndrome	Primary Ciliopathies	Reproductive	Uterine / vaginal abnormality	HP:0000130
Alström Syndrome	Primary Ciliopathies	Eye	Abnormal ERG / electroretinogram	HP:0000512
Alström Syndrome	Primary Ciliopathies	Skin_Hair_Nail	Acanthosis nigricans	HP:0000956
Alström Syndrome	Primary Ciliopathies	Endocrine	Adipose / skin fat distribution abnormality	HP:0000771
Alström Syndrome	Primary Ciliopathies	Skin_Hair_Nail	Alopecia / sparse hair	HP:0001596
Alström Syndrome	Primary Ciliopathies	Respiratory	Asthma	HP:0002099
Alström Syndrome	Primary Ciliopathies	Vascular	Atherosclerosis / vascular calcification	HP:0002621
Alström Syndrome	Primary Ciliopathies	Renal	Bladder / urinary tract abnormality	HP:0000014
Alström Syndrome	Primary Ciliopathies	Skeletal	Bone age abnormality	HP:0005982
Alström Syndrome	Primary Ciliopathies	Cardiac	Cardiac defect (general / unspecified)	HP:0001627
Alström Syndrome	Primary Ciliopathies	Cardiac	Cardiomyopathy	HP:0001638
Alström Syndrome	Primary Ciliopathies	Eye	Cataract	HP:0000518
Alström Syndrome	Primary Ciliopathies	Eye	Cone-rod dystrophy	HP:0000548
Alström Syndrome	Primary Ciliopathies	Craniofacial	Dental anomaly	HP:0000230
Alström Syndrome	Primary Ciliopathies	Endocrine	Diabetes mellitus	HP:0000842
Alström Syndrome	Primary Ciliopathies	Hepatic	Elevated transaminases / abnormal liver enzymes	HP:0002910
Alström Syndrome	Primary Ciliopathies	Skeletal	Hand / foot abnormality (general)	HP:0001167
Alström Syndrome	Primary Ciliopathies	Hepatic	Hepatic fibrosis / cirrhosis	HP:0001395; HP:0001394
Alström Syndrome	Primary Ciliopathies	Hepatic	Hepatomegaly	HP:0002240
Alström Syndrome	Primary Ciliopathies	Vascular	Hypertension (systemic)	HP:0000822
Alström Syndrome	Primary Ciliopathies	Endocrine	Hyperuricemia / gout	HP:0002149
Alström Syndrome	Primary Ciliopathies	Reproductive	Hypogonadism / hypogonadotropic hypogonadism	HP:0000044
Alström Syndrome	Primary Ciliopathies	Endocrine	Hypothyroidism	HP:0011784
Alström Syndrome	Primary Ciliopathies	CNS	Intellectual disability / developmental delay	HP:0001249
Alström Syndrome	Primary Ciliopathies	Endocrine	Lipid metabolism / dyslipidaemia	HP:0003119
Alström Syndrome	Primary Ciliopathies	Eye	Macular dystrophy / abnormality	HP:0007754
Alström Syndrome	Primary Ciliopathies	CNS	Nystagmus	HP:0000639
Alström Syndrome	Primary Ciliopathies	Endocrine	Obesity / hyperphagia	HP:0001513
Alström Syndrome	Primary Ciliopathies	Eye	Optic nerve abnormality	HP:0000587
Alström Syndrome	Primary Ciliopathies	Eye	Photophobia / night blindness	HP:0000613
Alström Syndrome	Primary Ciliopathies	Endocrine	Pituitary abnormality / hypopituitarism	HP:0000871
Alström Syndrome	Primary Ciliopathies	Skeletal	Polydactyly	HP:0001162
Alström Syndrome	Primary Ciliopathies	Respiratory	Recurrent respiratory infections / bronchiectasis	HP:0002783
Alström Syndrome	Primary Ciliopathies	Eye	Refractive error	HP:0000539
Alström Syndrome	Primary Ciliopathies	Renal	Renal cysts / cystic kidney	HP:0000107; HP:0000086
Alström Syndrome	Primary Ciliopathies	Renal	Renal failure / ESRD / CKD	HP:0000083
Alström Syndrome	Primary Ciliopathies	Eye	Retinal dystrophy (other / unspecified)	HP:0000556
Alström Syndrome	Primary Ciliopathies	Skeletal	Scoliosis / kyphosis / lordosis	HP:0002650
Alström Syndrome	Primary Ciliopathies	Skeletal	Short stature / dwarfism	HP:0004322
Alström Syndrome	Primary Ciliopathies	Craniofacial	Skull base / cranial vault abnormality	HP:0001270
Alström Syndrome	Primary Ciliopathies	Eye	Visual field defect	HP:0001123
Alström Syndrome	Primary Ciliopathies	Eye	Visual impairment / blindness	HP:0000505
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Apraxia	HP:0002186
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Areflexia / hyporeflexia	HP:0001284
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Skeletal	Arthrogryposis / contractures	HP:0002804
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Ataxia / gait abnormality	HP:0002317
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Bulbar dysfunction	HP:0001283
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Hematologic_Immune	Cancer susceptibility / tumour	HP:0002664
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Cerebellar hypoplasia/atrophy	HP:0001321
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Cerebral atrophy / volume loss	HP:0002180
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Hematologic_Immune	Chromosomal instability / radiation sensitivity	HP:0003220
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Constitutional symptom (catchall)	HP:0007495
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Eye movement abnormality (other)	HP:0000496
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Frequency / weakness / fatigue (general)	HP:0003388
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Skeletal	Hand / foot abnormality (general)	HP:0001167
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Hypertonia / spasticity	HP:0001276
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Intellectual disability / developmental delay	HP:0001249
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Microcephaly	HP:0000252
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Nystagmus	HP:0000639
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Peripheral neuropathy	HP:0003693
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Skin_Hair_Nail	Photodermatitis / photosensitivity	HP:0000992
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Eye	Photophobia / night blindness	HP:0000613
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Auditory	Sensorineural hearing loss / deafness	HP:0000407
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Skeletal	Short stature / dwarfism	HP:0004322
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	Eye	Tortuous / abnormal retinal vessels	HP:0030842
Ataxia-Telangiectasia-like Disorder	Secondary Diseases	CNS	Tremor / dyskinesia / dystonia	HP:0002072
Autosomal Dominant Polycystic Kidney Disease	Tissue-restricted Ciliopathies	Vascular	Aneurysm	HP:0002617
Autosomal Dominant Polycystic Kidney Disease	Tissue-restricted Ciliopathies	Renal	Bladder / urinary tract abnormality	HP:0000014
Autosomal Dominant Polycystic Kidney Disease	Tissue-restricted Ciliopathies	Craniofacial	Coarse facial features / abnormal facies	HP:0001999
Autosomal Dominant Polycystic Kidney Disease	Tissue-restricted Ciliopathies	Cardiac	Dextrocardia / cardiac malposition	HP:0001651
Autosomal Dominant Polycystic Kidney Disease	Tissue-restricted Ciliopathies	Hepatic	Elevated transaminases / abnormal liver enzymes	HP:0002910
Autosomal Dominant Polycystic Kidney Disease	Tissue-restricted Ciliopathies	Renal	Glomerular abnormality	HP:0000095
Autosomal Dominant Polycystic Kidney Disease	Tissue-restricted Ciliopathies	Vascular	Hypertension (systemic)	HP:0000822
