Gene,Ensembl ID,Gene Description,Synonym,OMIM ID,Functio l Summary from Literature,Ciliary Localization,Reference,Protein complexes,Gene annotation
ACE2,ENSG00000130234,angiotensin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557],ACEH,300335,"ACE2 receptor protein robustly localizes within the membrane of the motile cilia of airway epithelial cells,  which likely represents the  initial or early subcellular site of SARS-CoV-2 viral entry during host respiratory transmission.",cilia,33116139,NA,NA
ADAMTS20,ENSG00000173157,ADAM metallopeptidase with thrombospondin type 1 motif 20 [Source:HGNC Symbol;Acc:HGNC:17178],GON-1,611681,Secreted metalloproteases ADAMTS9 and ADAMTS20 have a non-canonical role in ciliary vesicle growth during ciliogenesis (30814516,"basal body,cilia",30814516,NA,NA
ADAMTS9,ENSG00000163638,ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202],KIAA1312,605421,Causes NPHP-related ciliopathy (30609407). Has a non-canonical role in ciliary vesicle growth during ciliogenesis (30814516),basal body,30609407; 30814516,NA,NA
ADCY3,ENSG00000138031,adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234],AC3,600291,"Localized to the plasma membrane of neuro l cilia (17924533, 23392690)","cilia , basal body , transition zone",17924533; 23392690,NA,NA
ADCY5,ENSG00000173175,adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236],AC5,600293,"AC5 and AC6 concentrate in the primary cilium, and mutation of a previously undescribed cilium-targeting motif in AC5 suppresses its ciliary location, as well as its capacity to inhibit Hh sig lling. Mutated in familial dyskinesia",cilia,26092933,NA,NA
ADCY6,ENSG00000174233,adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237],AC6,600294,"AC5 and AC6 concentrate in the primary cilium, and mutation of a previously undescribed cilium-targeting motif in AC5 suppresses its ciliary location, as well as its capacity to inhibit Hh sig lling. Mutated in lethal contracture syndrome",cilia,26092933,NA,NA
ADGRV1,ENSG00000164199,adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416],DKFZP761P0710; FEB4; GPR98; KIAA0686; MASS1; USH2C; VLGR1,602851,GPR98. USH2C OMIM 602851. Mutation causes Usher syndrome type IIC,"cilia , basal body",15671307,NA,GPCRs
AGBL5,ENSG00000084693,AGBL carboxypeptidase 5 [Source:HGNC Symbol;Acc:HGNC:26147],CCP5; FLJ21839,615900,CCP5. Tubulin deglutamylase. Knockdown in zebrafish leads to increase in glutamylation of axonemal microtubules (24743595). Knockdown can rescue cilia defects in other zebrafish cilia mutants (24743595). Biallelic missense mutations cause autosomal recessive retinitis pigmentosa (OMIM:615900) (26355662; 26720455; 27764769; 27842159). Causes structural defects in sperm flagella and spermatids with supernumerary centrioles leading to male infertility in mutant mice (c),"basal body,cilia",24743595; 26355662; 26720455; 27764769; 27842159; 26355662; 26720455; 27764769; 27842159,NA,NA
AHI1,ENSG00000135541,Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575],FLJ20069; JBTS3; ORF1,608894,"Mutated in Joubert syndrome (type 3) OMIM 608894, PMID:16453322. At mother centriole/basal body. Interacts with B9 complex of transition zone proteins including B9D1, B9D2, MKS1, TCTN1, TCTN2 PMID:22179047. Role in RAB8-dependent ciliary membrane targeting PMID:19625297.","cilia ,basal body",16453322 22179047 19625297,AHI1-NPHP1 heterodimer; AHI1-HAP1 complex; AHI1-NPHP1 heterotetramer,NA
AIPL1,ENSG00000129221,aryl hydrocarbon receptor interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:359],LCA4,604392,"Mutated in LCA. Localises to photoreceptor cilium, interacts with EB1",cilia,25799540,NA,NA
AK7,ENSG00000140057,adenylate ki se 7 [Source:HGNC Symbol;Acc:HGNC:20091],CFAP75; FAP75; FLJ32864,615364,"Ultrastructural defects in 9+2 cilia, leading to PCD phenotype in mutant mice PMID:18776131. Role in ATP production to power ciliary beating. Reduced expression levels in PCD patients PMID:20537283. 1 single possibly pathogenic variant found in AK7 in 1 PCD patient 22801010. Homozygous missense mutation L673P in adenylate ki se 7 (AK7) leads to primary male infertility and multiple morphological anomalies of the flagella but not to primary ciliary dyskinesia. Mutations lead to spermatogenic failure in humans","flagella, cilia",18776131 20537283 22801010; 30517620,NA,NA
AK8,ENSG00000165695,adenylate ki se 8 [Source:HGNC Symbol;Acc:HGNC:26526],C9ORF98; FLJ32704,615365,Hydrocephalus due to dysfunctio l motile cilia in KO mouse 21746835,"flagella, cilia, basal body",21746835; 24740601,NA,NA
AKT1,ENSG00000142208,AKT serine/threonine ki se 1 [Source:HGNC Symbol;Acc:HGNC:391],AKT; PKB; PRKBA; RAC; RAC-ALPHA,164730,Neddylation inhibitor MLN4924 suppresses cilia formation by modulating AKT1. Regulates a Rab11- Effector Switch Required for Ciliogenesis. 31204173,"basal body,cilia",30850948,NA,NA
ALMS1,ENSG00000116127,ALMS1 centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428],KIAA0328,606844,"Mutated in Alstrom syndrome (type 1) OMIM 606844, 11941369, 11941370. Also mutated in 1 LCA family PMID:21901789. siR  knockdown leads to shortened cilia and i bility of cilia to respond to mechanical stimuli PMID:17206865.","basal body, cilia basal body,",11941369; 11941370; 15855349; 21901789; 17206865,NA,NA
ALPK1,ENSG00000073331,alpha ki se 1 [Source:HGNC Symbol;Acc:HGNC:20917],FLJ22670; KIAA1527; LAK,607347,"missense pathogenic variant in five families leads to ROSAH syndrome, an ocular multisystem autosomal domi nt disorder.","basal body, cilia",30967659,NA,NA
A PC2,ENSG00000176248,a phase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989],APC2; KIAA1406,606946,Regulates ciliary length and disassembly of the primary cilium.,basal body,25139956,NA,NA
ANKRD26,ENSG00000107890,ankyrin repeat domain containing 26 [Source:HGNC Symbol;Acc:HGNC:29186],KIAA1074; THC2,610855,Ankrd26-/- mice display hyperphagia and have defects in primary cilia in regions of the central nervous system that control appetite and energy homeostasis (24633808). With TALPID3 selectively orchestrates FBF1 localization and cilia gating (32366837),basal body,24633808; 30824690; 32366837,NA,NA
ANKS3,ENSG00000168096,ankyrin repeat and sterile alpha motif domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29422],FLJ32345; FLJ32767; KIAA1977,617310,"Interacts with ANKS6 through sterile alpha motif (SAM), localised to re l cilia in mice",cilia,26327442,NA,NA
ANKS6,ENSG00000165138,ankyrin repeat and sterile alpha motif domain containing 6 [Source:HGNC Symbol;Acc:HGNC:26724],ANKRD14; FLJ36928; NPHP16; SAMD6,615370,"Ciliopathy gene NPHP16. Found in Inv compartment of cilia, where it undergoes phosphorylation 29395339",cilia,23793029; 29395339,NA,NA
ANO1,ENSG00000131620,anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625],DOG1; FLJ10261; ORAOV2; TAOS2; TMEM16A,610108,TMEM16A. Ca2+-activated Cl- channel .Regulates primary ciliogenesis.,cilia,24694595,NA,NA
ANO2,ENSG00000047617,anoctamin 2 [Source:HGNC Symbol;Acc:HGNC:1183],C12ORF3; TMEM16B,610109,Localises to cilia of olfactory epithelium.,cilia,19561302,NA,NA
ARHGAP36,ENSG00000147256,Rho GTPase activating protein 36 [Source:HGNC Symbol;Acc:HGNC:26388],FLJ30058,300937,Patched1-ArhGAP36-PKA- Inversin axis determines the ciliary translocation of Smoothened for Sonic Hedgehog pathway activation.,basal body,30598432,NA,NA
ARL13B,ENSG00000169379,ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419],ARL2L1; DKFZP761H079; JBTS8,608922,"Mutated in Joubert Syndrome (type 8) OMIM 608922, 18674751. In proximal ciliary membrane PMID:20231383. Role in IFT and therefore ciliogenesis PMID:20530210. Necessary for normal Shh PMID:21976698 and INPP5E sig lling PMID:23150559 and normal expression of Nodal and Cerl2 PMID:22554696.",cilia,18674751; 20231383; 20530210; 21976698; 23150559; 22554696,NA,Ciliary function
ARL2,ENSG00000213465,ADP ribosylation factor like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:693],ARFL2,601175,Regulates cilia stability and development of outer segments in rod photoreceptor neurons.,cilia,30446707,NA,NA
ARL2BP,ENSG00000102931,ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146],BART; BART1; RP66,615407,Needed for normal photoreceptor cilia doublets and outer segment structure.,basal body,29718757,NA,NA
ARL3,ENSG00000138175,ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694],ARFL3,604695,"interactor of RP2 12417528 and PDEdelta PMID:10518933. Involved in trafficking of vesicles from the Golgi to the cilium PMID:20106869, especially; farnesylated cargo PMID:22002721 in association with PDEdelta and RPGR PMID:23559067; and myristoylated cargo in association with UNC119 and RP2 PMID:22085962 ARL3 Mutations Cause Joubert Syndrome by Disrupting Ciliary Protein Composition 30269812",basal body,12417528; 10518933; 20106869; 22002721; 23559067; 22085962; 30269812,NA,Ciliary function
ARL6,ENSG00000113966,ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210],BBS3; RP55,608845,"Mutated in Bardet-Biedl syndrome (type 3) and retinitis pigmentosa (type 55) OMIM 608845, PMID:19956407, PMID:15314642. At the ciliary gate, regulates Wnt sig lling PMID:20207729. Functions with BBSome to coat proteins for trafficking to the cilium PMID:20603001","basal body, cilia, transition zone",19956407; 15314642; 20207729; 20603001,NA,Ciliary function
ARMC2,ENSG00000118690,armadillo repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:23045],BA787I22.1; DKFZP434P0714,618424,Required for sperm flagellum formation. Bi-allelic Mutations in ARMC2 Lead to Severe Astheno-Teratozoospermia Due to Sperm Flagellum Malformations in Humans and Mice.,flagella,30686508,NA,NA
ARMC9,ENSG00000135931,armadillo repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:20730],ARM; FLJ12584; KIAA1868; KU-MEL-1,617612,Ciliopathy gene JBTS30 PMID:28625504. Interacts with coiled-coil domain containing 66 (CCDC66) and TOG array regulator of axonemal microtubules 1 (TOGARAM1) 32453716. Regulator of b- tubule length 30217954,"cilia, basal body",28625504; 32453716; 30217954,NA,NA
ASAP1,ENSG00000153317,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:2720]",CENTB4; DDEF1; KIAA1249; PAP; ZG14P,605953,"Targets proteins, such as rhodopsin and polycystin-1, to cilia in association with ARF4, RAB11 and RAB8 PMID:19153612, PMID:21775626. Provides a platform to regulate Arf4- and Rab11-Rab8-mediated ciliary cargo trafficking PMID:22983554",basal body,19153612; 21775626; 22983554,NA,NA
ATAT1,ENSG00000231257; ENSG00000206488; ENSG00000229061; ENSG00000223752; ENSG00000234549; ENSG00000235658; ENSG00000137343,alpha tubulin acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21186],C6ORF134; EM:AB023049.7; FLJ13158; MEC17,615556,Major alpha-tubulin K40 acetyltransferase alphaTAT1. Promotes rapid ciliogenesis and efficient mechanosensation.,cilia,21068373; 23720746,NA,NA
ATG3,ENSG00000144848,autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962],APG3L; DKFZP564M1178; FLJ22125; MGC15201; PC3-96,609606,"OFD1 at the centriolar satellites is rapidly degraded by autophagy upon serum starvation. In autophagy- deficient Atg5 or Atg3 null mouse embryonic fibroblasts, OFD1 accumulates at centriolar satellites, leading to fewer and shorter primary cilia and a defective recruitment of BBS4 (Bardet-Biedl syndrome 4) to cilia.",cilia  basal body,24089205,NA,NA
ATG5,ENSG00000057663,autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589],APG5; APG5L; ASP; HAPG5,604261,"OFD1 at the centriolar satellites is rapidly degraded by autophagy upon serum starvation. In autophagy- deficient Atg5 or Atg3 null mouse embryonic fibroblasts, OFD1 accumulates at centriolar satellites, leading to fewer and shorter primary cilia and a defective recruitment of BBS4 (Bardet-Biedl syndrome 4) to cilia. MUtations cause spinocerebellar ataxia 25",cilia  basal body,24089205,NA,NA
ATXN10,ENSG00000130638,ataxin 10 [Source:HGNC Symbol;Acc:HGNC:10549],ATX10; E46L; FLJ37990; SCA10,611150,Mutated in 1 NPHP family (splice-site mutation). Forms complex with NPHP5 and 6 at the basal body 21565611 Mutated in spinocerebellar ataxia 10,basal body,21565611,NA,NA
AURKA,ENSG00000087586,aurora ki se A [Source:HGNC Symbol;Acc:HGNC:11393],AIK; ARK1; AURA; BTAK; PPP1R47; STK15; STK6; STK7,603072,ki se at the basal body of cilia. Phosphorylates HDAC6 to promote cilia disassembly,basal body,17604723,NA,NA
B9D1,ENSG00000108641,B9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24123],B9; EPPB9; MKS9; MKSR-1,614144,Mutated in Meckel-Gruber syndrome (type 9) OMIM 614144 although mutations only found in 1 family PMID:21493627. Interacts with B9D2 and MKS1 at the transition zone PMID:22179047,"transition zone ,basal body",21493627; 21763481; 22179047,B9D1-B9D2-MKS1 complex,NA
B9D2,ENSG00000123810,B9 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28636],MGC4093; MKS10; MKSR-2,611951,Mutated in Meckel-Gruber syndrome (type10) OMIM 611951 although mutations only found in 1 family PMID:21763481. Interacts with B9D2 and MKS1 at the transition zone PMID:22179047,"transition zone, basal body",21493627; 21763481; 22179047,B9D1-B9D2-MKS1 complex,NA
BAG6,ENSG00000229524; ENSG00000096155; ENSG00000204463; ENSG00000234651; ENSG00000228760; ENSG00000227761; ENSG00000233348,BAG cochaperone 6 [Source:HGNC Symbol;Acc:HGNC:13919],BAT3; D6S52E; G3; SCYTHE,142590,Microtubule-binding protein that regulates ciliogenesis by modulating the cell cycle and interacting with gamma-tubulin. Colocalizes with intracellular microtubules and by co- immunoprecipitation we demonstated that it can interact with 伪-tubulin. Assembly of primary cilia in RPE-1 cells is significantly inhibited upon the depletion of BAG6 (31838060),basal body,31838060,NA,NA
